,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
758,JULY 16,Zach Eflin,3.0,7,5,0,0,0,1,0,0,-10.0
759,JULY 16,Carlos Estevez,1.0,2,2,0,0,0,0,0,0,-3.0
760,JULY 16,Yusei Kikuchi,4.2,2,1,3,4,0,0,0,0,11.0
762,JULY 16,Bryce Miller,5.0,5,0,1,3,1,0,0,0,14.0
763,JULY 17,Emmanuel Clase,1.0,1,0,0,3,0,0,0,0,5.0
767,JULY 17,Jesus Luzardo,4.0,5,2,3,2,0,0,0,0,2.0
773,JULY 18,Carlos Estevez,1.0,0,0,0,1,0,0,0,0,4.0
776,JULY 18,Bryce Elder,2.2,7,5,1,4,0,0,0,0,-6.0
778,JULY 19,Jhoan Duran,1.0,1,0,0,2,0,0,1,0,9.0
783,JULY 19,Shawn Armstrong,2.0,0,0,0,1,0,0,0,0,7.0
784,JULY 20,Spencer Strider,6.0,4,4,1,13,0,0,0,0,18.0
790,JULY 20,J.P. France,7.0,6,1,1,5,1,0,0,0,19.0
791,JULY 21,Emmanuel Clase,1.0,0,0,0,0,0,0,1,0,8.0
793,JULY 21,Zach Eflin,7.0,2,0,1,8,1,0,0,0,28.0
794,JULY 21,Carlos Estevez,1.0,1,0,0,2,0,0,1,0,9.0
795,JULY 21,Yusei Kikuchi,5.1,5,0,1,8,0,0,0,0,18.0
797,JULY 21,Bryce Miller,5.1,3,1,2,6,0,0,0,0,15.0
798,JULY 22,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
799,JULY 22,Jhoan Duran,1.0,2,0,0,3,0,0,1,0,9.0
806,JULY 23,Jhoan Duran,1.0,1,0,0,2,0,0,0,0,4.0
808,JULY 23,Carlos Estevez,1.0,0,0,1,1,0,0,1,0,8.0
809,JULY 23,Jesus Luzardo,7.0,4,1,2,13,0,0,0,0,26.0
819,JULY 25,Emmanuel Clase,1.0,0,0,0,0,0,0,0,0,3.0
822,JULY 25,Carlos Estevez,1.0,4,0,1,3,1,0,0,0,3.0
825,JULY 25,Alex Cobb,6.0,3,0,1,9,0,0,0,0,23.0
826,JULY 26,Spencer Strider,6.1,6,2,1,10,0,0,0,0,18.0
829,JULY 26,Zach Eflin,4.0,7,5,1,3,0,1,0,0,-5.0
832,JULY 26,Bryce Miller,5.2,8,6,0,7,1,0,0,0,6.0
834,JULY 27,Emmanuel Clase,1.0,2,0,0,1,0,0,1,0,7.0
842,JULY 28,Jhoan Duran,0.1,1,3,2,1,0,1,0,0,-9.0
853,JULY 29,Logan Allen,6.0,8,5,3,4,0,1,0,0,-1.0
855,JULY 30,Emmanuel Clase,1.0,1,0,0,0,0,0,0,0,2.0
857,JULY 30,Carlos Estevez,2.0,1,0,1,2,1,0,0,0,8.0
858,JULY 30,Jesus Luzardo,4.2,7,4,3,3,0,0,0,0,-1.0
860,JULY 30,Dean Kremer,4.0,7,3,2,7,0,0,0,0,4.0
867,JULY 31,Nick Pivetta,7.1,5,3,0,10,0,1,0,0,19.0
868,AUGUST 1,Spencer Strider,6.2,5,1,2,9,1,0,0,0,22.0
870,AUGUST 1,Jhoan Duran,1.0,1,1,0,2,0,0,1,0,7.0
871,AUGUST 1,Zach Eflin,6.0,3,0,0,5,1,0,0,0,22.0
874,AUGUST 1,Bryce Miller,5.2,7,6,2,4,0,1,0,0,-2.0
881,AUGUST 2,Wade Miley,4.0,3,1,2,5,0,0,0,0,10.0
884,AUGUST 3,Jhoan Duran,1.0,2,1,0,1,0,0,1,0,5.0
886,AUGUST 3,Carlos Estevez,1.0,2,4,2,3,0,1,0,0,-8.0
888,AUGUST 3,Bryan Woo,6.0,4,2,2,6,0,0,0,0,14.0
889,AUGUST 4,Emmanuel Clase,1.0,0,0,1,1,0,0,1,0,8.0
890,AUGUST 4,Jhoan Duran,1.0,1,0,1,1,0,0,1,0,7.0
892,AUGUST 4,Jesus Luzardo,5.1,6,4,2,8,0,1,0,0,6.0
894,AUGUST 4,Graham Ashcraft,8.0,5,3,2,5,0,0,0,0,16.0
895,AUGUST 4,Hunter Brown,6.0,5,2,1,4,1,0,0,0,14.0
901,AUGUST 5,Steven Matz,6.0,5,1,2,6,1,0,0,0,17.0
902,AUGUST 5,Kyle Gibson,7.0,4,3,1,9,1,0,0,0,21.0
903,AUGUST 6,Emmanuel Clase,1.0,4,0,0,3,0,1,0,0,0.0
905,AUGUST 6,Carlos Estevez,1.0,1,0,1,0,0,0,0,0,1.0
909,AUGUST 6,Kyle Bradish,4.2,3,0,5,5,0,0,0,0,11.0
910,AUGUST 7,Spencer Strider,2.2,5,6,3,3,0,1,0,0,-11.0
913,AUGUST 7,Carlos Estevez,0.1,3,5,2,0,0,1,0,0,-16.0
917,AUGUST 8,Emmanuel Clase,1.0,2,0,0,1,0,0,1,0,7.0
919,AUGUST 8,Zach Eflin,7.0,4,1,0,8,0,0,0,0,23.0
923,AUGUST 8,Yusei Kikuchi,7.0,3,1,1,6,0,1,0,0,19.0
927,AUGUST 9,Carlos Estevez,1.0,1,0,0,0,0,0,1,0,7.0
929,AUGUST 9,Graham Ashcraft,7.0,3,1,1,7,0,0,0,0,22.0
931,AUGUST 10,Emmanuel Clase,1.0,0,0,0,2,0,0,1,0,10.0
932,AUGUST 10,Jhoan Duran,1.0,1,0,0,2,0,0,0,0,4.0
944,AUGUST 11,Kyle Gibson,5.1,12,9,2,4,0,1,0,0,-14.0
945,AUGUST 12,Spencer Strider,7.0,3,0,4,6,1,0,0,0,22.0
946,AUGUST 12,Emmanuel Clase,0.2,4,3,0,1,0,1,0,0,-9.0
954,AUGUST 13,Jhoan Duran,1.0,1,0,0,0,0,0,1,0,7.0
955,AUGUST 13,Zach Eflin,3.0,9,6,1,3,0,1,0,0,-12.0
956,AUGUST 13,Carlos Estevez,1.0,0,0,0,2,0,0,1,0,10.0
967,AUGUST 15,Emmanuel Clase,1.0,1,0,0,1,0,0,1,0,8.0
968,AUGUST 15,Jhoan Duran,1.0,2,1,0,2,0,0,1,0,6.0
971,AUGUST 15,Graham Ashcraft,7.0,7,3,2,2,0,1,0,0,6.0
972,AUGUST 15,Yusei Kikuchi,6.0,4,1,0,7,0,0,0,0,19.0
976,AUGUST 16,Carlos Estevez,1.0,2,0,0,2,0,0,1,0,8.0
987,AUGUST 18,Spencer Strider,7.0,1,0,1,10,1,0,0,0,31.0
